ID,Pred
2010_3124_3201,1
2010_3173_3395,1
2010_3181_3214,1
2010_3199_3256,1
2010_3207_3265,1
2010_3208_3408,1
2010_3211_3314,1
2010_3234_3353,1
2010_3246_3251,1
2010_3216_3261,0
2010_3132_3277,0
2010_3151_3329,0
2010_3343_3385,0
2010_3390_3415,1
2010_3122_3397,0
2010_3340_3401,0
2010_3114_3210,1
2010_3163_3380,1
2010_3235_3250,1
2010_3280_3292,1
2010_3304_3320,1
2010_3156_3323,0
2010_3326_3384,1
2010_3328_3355,1
2010_3361_3400,1
2010_3241_3396,0
2010_3301_3417,0
2010_3177_3435,0
2010_3436_3458,1
2010_3249_3452,0
2010_3438_3453,0
2010_3190_3462,0
2010_3124_3207,1
2010_3181_3261,1
2010_3199_3385,1
2010_3208_3329,1
2010_3211_3401,1
2010_3246_3277,1
2010_3234_3390,0
2010_3173_3397,0
2010_3163_3396,1
2010_3235_3453,1
2010_3280_3326,1
2010_3304_3417,1
2010_3323_3436,1
2010_3114_3328,0
2010_3361_3452,1
2010_3435_3462,0
2010_3124_3397,1
2010_3181_3361,1
2010_3208_3390,0
2010_3211_3462,0
2010_3163_3235,1
2010_3199_3280,1
2010_3246_3304,1
2010_3323_3328,0
2010_3124_3181,1
2010_3390_3462,1
2010_3163_3199,1
2010_3246_3328,0
2010_3124_3163,0
2010_3328_3390,0
2010_3163_3390,1
2011_3177_3298,1
2011_3181_3404,1
2011_3132_3210,0
2011_3211_3234,1
2011_3214_3246,0
2011_3235_3265,0
2011_3266_3400,1
2011_3201_3314,0
2011_3323_3428,1
2011_3326_3416,1
2011_3173_3336,0
2011_3385_3403,1
2011_3390_3413,1
2011_3113_3396,0
2011_3391_3397,0
2011_3285_3417,0
2011_3124_3341,1
2011_3163_3216,1
2011_3199_3359,1
2011_3207_3343,1
2011_3208_3292,1
2011_3257_3435,1
2011_3268_3384,1
2011_3205_3274,0
2011_3277_3320,1
2011_3241_3328,0
2011_3243_3345,0
2011_3256_3353,0
2011_3270_3401,0
2011_3222_3452,0
2011_3114_3453,0
2011_3355_3462,0
2011_3177_3336,1
2011_3181_3265,1
2011_3211_3417,1
2011_3246_3314,0
2011_3323_3396,1
2011_3210_3326,0
2011_3385_3390,0
2011_3266_3397,0
2011_3124_3452,1
2011_3163_3345,1
2011_3207_3268,1
